# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416268888;33329808;231194616;87.40;451048;27384412;207953508;76.20
axle;60;1416268948;31311924;233212500;88.16;451096;29666700;207628832;76.08
axle;60;1416269008;26336588;238187836;90.04;451172;33185680;209082296;76.61
axle;60;1416269068;26415996;238108428;90.01;451232;33345656;208838004;76.52
axle;60;1416269128;27532560;236991864;89.59;451264;33346980;207736584;76.12
axle;60;1416269188;26904380;237620044;89.83;451320;33348508;208358468;76.35
axle;60;1416269248;27206576;237317848;89.71;451384;33883384;207538068;76.05
axle;60;1416269308;26198184;238326240;90.10;451428;34907380;207505400;76.03
axle;60;1416269368;24242864;240281560;90.84;451456;36296352;208099712;76.25
axle;60;1416269428;23700072;240824352;91.04;451500;37110840;207809548;76.15
axle;60;1416269488;23521456;241002968;91.11;451536;37583844;207505516;76.03
