Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

01:00:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:01:28 AM     all      6.16      0.00      6.31      0.07      0.00     87.47
01:02:28 AM     all      7.12      0.00      5.82      0.00      0.00     87.05
01:03:28 AM     all      5.99      0.00      7.50      0.00      0.00     86.50
01:04:28 AM     all      7.16      0.00      6.13      0.01      0.00     86.71
01:05:28 AM     all      5.34      0.00      1.03      0.01      0.00     93.62
01:06:28 AM     all      5.73      0.00      0.58      0.00      0.00     93.68
01:07:28 AM     all      4.92      0.00      1.44      0.00      0.00     93.64
01:08:28 AM     all      5.35      0.00      0.98      0.00      0.00     93.66
01:09:28 AM     all      5.14      0.00      1.16      0.00      0.00     93.69
01:10:28 AM     all      5.15      0.00      1.21      0.00      0.00     93.64
01:11:28 AM     all      4.49      0.00      1.90      0.00      0.00     93.61
