# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416269662;sda;8.57;0.00;666.80;77.82;0.10;11.51;0.20;0.17
axle;59;1416269722;sda;5.23;0.00;765.83;146.42;0.02;3.94;0.22;0.11
axle;59;1416269782;sda;5.49;0.00;821.57;149.52;0.03;5.51;0.21;0.11
axle;60;1416269842;sda;4.69;0.00;718.99;153.46;0.02;4.90;0.23;0.11
axle;60;1416269902;sda;5.10;0.00;774.64;151.92;0.03;5.74;0.28;0.14
axle;59;1416269962;sda;5.34;0.00;718.69;134.51;0.02;3.95;0.20;0.11
axle;60;1416270022;sda;5.65;0.00;920.70;162.97;0.04;7.12;0.25;0.14
axle;60;1416270082;sda;5.08;0.00;720.62;141.89;0.03;6.19;0.25;0.13
axle;60;1416270142;sda;5.66;0.00;869.78;153.57;0.03;4.76;0.20;0.11
axle;59;1416270202;sda;4.69;0.00;754.77;160.77;0.02;4.72;0.22;0.10
axle;59;1416270262;sda;5.51;0.00;779.79;141.63;0.02;4.46;0.21;0.11
axle;59;1416270322;sda;5.10;0.00;809.29;158.71;0.02;4.51;0.17;0.09
axle;59;1416270382;sda;5.07;0.00;747.42;147.35;0.02;4.81;0.21;0.11
