# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416269662;20045148;244479276;92.42;452356;35943020;212781812;77.97
axle;59;1416269722;15527772;248996652;94.13;452420;36612440;216683564;79.40
axle;59;1416269782;17420404;247104020;93.41;452504;35880920;215282748;78.88
axle;60;1416269842;20014048;244510376;92.43;452580;36133960;212391064;77.82
axle;60;1416269902;15278412;249246012;94.22;452668;36448036;216843476;79.46
axle;59;1416269962;19569732;244954692;92.60;452760;36735996;212328852;77.80
axle;60;1416270022;19573268;244951156;92.60;452844;36015616;213071120;78.07
axle;60;1416270082;18142456;246381968;93.14;452928;36307996;214112864;78.46
axle;60;1416270142;19437352;245087072;92.65;453012;36089064;213065812;78.07
axle;59;1416270202;19006716;245517708;92.81;453080;36118288;213440196;78.21
axle;59;1416270262;19294196;245230228;92.71;453176;36150240;213108204;78.09
axle;59;1416270322;16739596;247784828;93.67;453268;36812240;215026892;78.79
axle;59;1416270382;23507832;241016592;91.11;453352;36215424;208891504;76.54
