Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

01:13:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:14:22 AM     all     65.80      0.00     16.04      0.02      0.00     18.14
01:15:22 AM     all     66.64      0.00     16.54      0.00      0.00     16.82
01:16:22 AM     all     67.97      0.00     16.20      0.00      0.00     15.84
01:17:22 AM     all     76.50      0.00     12.46      0.00      0.00     11.03
01:18:22 AM     all     76.05      0.00     12.88      0.00      0.00     11.07
01:19:22 AM     all     70.14      0.00     15.76      0.00      0.00     14.10
01:20:22 AM     all     73.22      0.00     13.15      0.00      0.00     13.63
01:21:22 AM     all     74.64      0.00     12.46      0.00      0.00     12.91
01:22:22 AM     all     69.77      0.00     13.74      0.00      0.00     16.49
01:23:22 AM     all     72.98      0.00     13.05      0.00      0.00     13.97
01:24:22 AM     all     66.32      0.00     16.68      0.00      0.00     17.00
01:25:22 AM     all     70.92      0.00     14.99      0.00      0.00     14.09
01:26:22 AM     all     62.27      0.00     16.57      0.00      0.00     21.16
